CityName,CityUniqueID_,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,solid waste,telecommunication and innovation,transportation,shelter,urban planning,wastewater,water and sanitation,all
Lanzhou,C266,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jiayuguan,C267,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jinchang,C268,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Baiyin,C269,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tianshui,C270,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Wuwei,C271,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhangye,C272,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Pingliang,C273,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jiuquan,C274,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Qingyang,C275,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Dingxi,C276,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Longnan,C277,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xining,C278,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yinchuan,C279,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shizuishan,C280,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Wuzhong,C281,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Guyuan,C282,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhongwei,C283,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Urumqi,C284,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Karamay,C285,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
